Specific scattering coefficients [m2 mg-1] of eight phytoplankton types from the supplemental data of [1], [2].

    Group N	a_phy	bb_phy
    C_0	Diatoms (6 spectra from Lomas et al 2024; coastal species: Thalassiosira nordenskioeldi, Thalassiosira guilardi, Rhizoselenia setigera, Chaetoceros diadem, Chaetoceros socialis)	Diatoms -> cp Brown group Bi et al 2023
    C_1	Green (Bi et al 2023)	Green Bi et al 2023
    C_2	Cryptophytes (2 spectra from Lomas et al 2024; Rhodomonas salina)	cp from Cryptophyte Bi et al 2023
    C_3	Synecochoccus bacillaris (2 spectra Lomas et al 2024) -> Cyano blue	cp from Cyano_blue Bi et al 2023
    C_4	Synecochoccus  sp (2 spectra Lomas et al 2024) -> Cyano red	cp from Cyano_red Bi et al 2023
    C_5	Coccolithophore (6 spectra Lomas et al 2024; Emiliania huxleyi)	cp from Coccolithophore Bi et al 2023
    C_6	Dinoflagellates (5 spectra from Lomas et al 2024; coastal species: Prorocentrum minimum, Karenia brevis, Prorocentrum lima)	Dinoflagellate -> cp Brown group Bi et al 2023
    C_7	case_1 (2 spectra Lomas et al 2024; Prochlorococcus marinus)	cp from Case-1 Bi et al 2023

    [1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]
    [2] Lomas et al (2024): Phytoplankton optical fingerprint libraries for development of phytoplankton
    ocean color satellite products. Sci Data 11, 168 (2024). https://doi.org/10.1038/s41597-024-03001-z
    
wavelength_nm,Diatoms,Green,Cryptophytes,Cyano_blue,Cyano_red,Coccolithophore,Dinoflagellates,Case-1
400.0,0.2142718498281037,0.203835256,0.1722980308249141,0.2110768772477056,0.1988573381296305,0.7147834319927969,0.219763644711902,0.1993350642580958
402.0,0.2134598409391482,0.203466133,0.1717151178319163,0.2104916663561838,0.1983713278304094,0.7122785897564405,0.2192299445851645,0.1977890170113052
404.0,0.2125628727860289,0.203030734,0.1710157310582859,0.2098516953754091,0.1978954746791459,0.7095595582394774,0.2186602642531397,0.1958294309897735
406.0,0.2115419507273297,0.202569602,0.170200175075702,0.2089630979294844,0.1972438921601526,0.7067487017622834,0.2180257626690687,0.1939450256648093
408.0,0.2104874332193561,0.202116531,0.1693243577875037,0.2080369105907389,0.196290004458633,0.7039401058747521,0.2173791656064166,0.1915977881303479
410.0,0.2094987043100437,0.201698568,0.1685140471772285,0.2069943900447107,0.1952408476522797,0.7012362876250113,0.2167879398242776,0.1892404365493131
412.0,0.2085851670797834,0.201323822,0.1677978876686512,0.2060773026929909,0.1942941112709415,0.6988582218088386,0.2162558787427869,0.1868182584817336
414.0,0.2078510648668945,0.200988074,0.167288615745118,0.2052397216107773,0.1934833792018908,0.6966934940618027,0.2158468264750924,0.1842217534008198
416.0,0.2073021780179363,0.200710097,0.1668515471392153,0.2045754919846786,0.1927941923696303,0.69483308535133,0.2154932549967357,0.1817755767289155
418.0,0.2069060229135839,0.200491792,0.1666326961473186,0.2041506138926739,0.1924199711131196,0.693175935463157,0.2151880558389318,0.1795953126505223
420.0,0.2066300976881761,0.200318191,0.1664168064087294,0.2038443178417403,0.1921520528199298,0.691672957668423,0.2149277567222068,0.1776157338092469
422.0,0.2063529564767682,0.200141938,0.1662473375748379,0.2036382408211407,0.1919360162956365,0.6902869138535276,0.2146828458302093,0.1761699399011003
424.0,0.2060229284710085,0.199945582,0.1659956858013259,0.2034882203258383,0.1916810644648646,0.6888156185409899,0.2143559013404232,0.1749757694262584
426.0,0.2055401358459476,0.199721769,0.165656346835043,0.2032073187456271,0.1914132857244149,0.6873612646449974,0.2139477424312903,0.1741039341717303
428.0,0.2048436630009169,0.199480001,0.1651648304861996,0.2026404402440643,0.1909241345037258,0.685687887709962,0.2134619036255262,0.1733856800574076
430.0,0.2040125893301697,0.199246635,0.1645275028313808,0.2020048345600577,0.1901629233733428,0.6839356957247433,0.2129206593098458,0.1725584636299215
432.0,0.2031529283591584,0.199050007,0.1639138830541903,0.201147475548725,0.1892465984903572,0.682272005118097,0.2123721151524047,0.1715681625232544
434.0,0.2023669700830043,0.198917046,0.1633719562568253,0.2002827210890983,0.1882729397055503,0.6805731067421469,0.2119023364063154,0.1702168950325619
436.0,0.2017999537118785,0.198890552,0.1630211592259244,0.1997076662540552,0.1877696975703742,0.6789733218427169,0.2115407035730656,0.1683890299941327
438.0,0.2015769670198421,0.198996241,0.1629637740943226,0.1994322862063118,0.1874765158350216,0.6774967680007609,0.2112787340111949,0.1666373784978325
440.0,0.2017166083879287,0.199242745,0.1631981940714884,0.1996874807202946,0.1878639724240544,0.676236570370229,0.211198979879276,0.1649773457997155
442.0,0.2022642343756699,0.199633626,0.1637904705149743,0.2004983066564747,0.1889972726169315,0.6751609948105434,0.2113387009600249,0.1638941546192204
444.0,0.2030882458126746,0.200149141,0.1646858705914091,0.2020382515548972,0.1908657193161064,0.6740676708549518,0.2116022948697064,0.1634298843262331
446.0,0.2040902081200681,0.200762451,0.1657992714074674,0.204155225587457,0.1933254842398164,0.6729876045572923,0.2119190348187371,0.163271763432543
448.0,0.2050679210139314,0.201430393,0.1669663549893578,0.2066275457475305,0.1961248826331863,0.6718128503641803,0.2122262660427487,0.1636383843769322
450.0,0.2058657249850719,0.202093477,0.1680343453177617,0.2091265123012622,0.1987854355723557,0.670484121630818,0.2124063663369186,0.1643664627435029
452.0,0.2063999794149971,0.202683566,0.1689186401854437,0.2113629158583188,0.2011935174935399,0.6690592498591956,0.2123884417246566,0.1655256179962867
