Specific absorption coefficients [m2 mg-1] of eight phytoplankton types from the supplemental data of [1] and [2].

    Group N	a_phy	bb_phy
    C_0	Diatoms (6 spectra from Lomas et al 2024; coastal species: Thalassiosira nordenskioeldi, Thalassiosira guilardi, Rhizoselenia setigera, Chaetoceros diadem, Chaetoceros socialis)	Diatoms -> cp Brown group Bi et al 2023
    C_1	Green (Bi et al 2023)	Green Bi et al 2023
    C_2	Cryptophytes (2 spectra from Lomas et al 2024; Rhodomonas salina)	cp from Cryptophyte Bi et al 2023
    C_3	Synecochoccus bacillaris (2 spectra Lomas et al 2024) -> Cyano blue	cp from Cyano_blue Bi et al 2023
    C_4	Synecochoccus  sp (2 spectra Lomas et al 2024) -> Cyano red	cp from Cyano_red Bi et al 2023
    C_5	Coccolithophore (6 spectra Lomas et al 2024; Emiliania huxleyi)	cp from Coccolithophore Bi et al 2023
    C_6	Dinoflagellates (5 spectra from Lomas et al 2024; coastal species: Prorocentrum minimum, Karenia brevis, Prorocentrum lima)	Dinoflagellate -> cp Brown group Bi et al 2023
    C_7	case_1 (2 spectra Lomas et al 2024; Prochlorococcus marinus)	cp from Case-1 Bi et al 2023
    
    [1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]
    [2] Lomas et al (2024): Phytoplankton optical fingerprint libraries for development of phytoplankton
    ocean color satellite products. Sci Data 11, 168 (2024). https://doi.org/10.1038/s41597-024-03001-z
    
wavelength_nm,Diatoms,Green,Cryptophytes,Cyano_blue,Cyano_red,Coccolithophore,Dinoflagellates,Case-1
400.0,0.0309439441718962,0.024218179,0.0268686361750858,0.0279231227522943,0.0401426618703694,0.0378882360072031,0.0254521492880979,0.0277265387419041
402.0,0.0315925610608517,0.024587302,0.0274515481680837,0.0285083336438161,0.0406286721695905,0.0388515252435595,0.0258224574148354,0.0284111899886947
404.0,0.0323756312139711,0.025022701,0.028150934941714,0.0291483046245908,0.041104525320854,0.0399689957605226,0.0262782397468602,0.0294966680102264
406.0,0.0332890752726702,0.025483833,0.0289664919242979,0.0300369020705155,0.0417561078398473,0.0411636792377165,0.0268052633309312,0.0305326063351907
408.0,0.0342422817806439,0.025936904,0.0298423092124962,0.030963089409261,0.0427099955413669,0.0424138931252479,0.0273505493935833,0.032095375869652
410.0,0.0351351326899562,0.026354867,0.0306526188227714,0.0320056099552892,0.0437591523477202,0.0437217413749885,0.0278458971757224,0.0337706154506868
412.0,0.0359596919202165,0.026729613,0.0313687793313487,0.032922697307009,0.0447058887290584,0.0448664731911614,0.028288980257213,0.0356431975182663
414.0,0.0366114841331054,0.027065361,0.0318780502548819,0.0337602783892227,0.0455166207981091,0.0458783939381974,0.0286157225249075,0.0377908125991802
416.0,0.0370814399820636,0.027343338,0.0323151188607846,0.0344245080153213,0.0462058076303696,0.0466384656486698,0.0288903630032642,0.0398652912710844
418.0,0.037398859086416,0.027561643,0.0325339698526814,0.0348493861073261,0.0465800288868803,0.0472615625368428,0.0291168261610682,0.0417252453494776
420.0,0.0376006373118238,0.027735244,0.0327498605912705,0.0351556821582596,0.0468479471800701,0.0478185663315771,0.0293029782777931,0.043481528190753
422.0,0.0378250735232317,0.027911497,0.032919329425162,0.0353617591788592,0.0470639837043634,0.0483231901464725,0.0294951841697906,0.0448510390988997
424.0,0.0381189845289914,0.028107853,0.033170980198674,0.0355117796741616,0.0473189355351353,0.0490259494590099,0.0297860116595767,0.0460692115737416
426.0,0.0385577781540523,0.028331666,0.0335103201649569,0.0357926812543728,0.047586714275585,0.0498070893550026,0.0301501715687096,0.0470035608282696
