Specific absorption coefficients [m2 mg-1] of eight phytoplankton types from the supplemental data of [1], [2], [3].

    Group N	a_phy	bb_phy
    C_0	Diatoms (6 spectra from Lomas et al 2024; coastal species: Thalassiosira nordenskioeldi, Thalassiosira guilardi, Rhizoselenia setigera, Chaetoceros diadem, Chaetoceros socialis)	Diatoms -> cp Brown group Bi et al 2023
    C_1	Green (Bi et al 2023)	Green Bi et al 2023
    C_2	Cryptophytes (2 spectra from Lomas et al 2024; Rhodomonas salina)	cp from Cryptophyte Bi et al 2023
    C_3	Synecochoccus bacillaris (2 spectra Lomas et al 2024) -> Cyano blue	cp from Cyano_blue Bi et al 2023
    C_4	Synecochoccus  sp (2 spectra Lomas et al 2024) -> Cyano red	cp from Cyano_red Bi et al 2023
    C_5*	Phaeocystis globosa (2 spectra Lomas et al 2024)	Haptophyte -> cp Brown group Bi et al 2023.
    C_6	Dinoflagellates (5 spectra from Lomas et al 2024; coastal species: Prorocentrum minimum, Karenia brevis, Prorocentrum lima)	Dinoflagellate -> cp Brown group Bi et al 2023
    C_7*	Noctiluca (digitized from Astoreca et al 2005); scaled at 650nm to 0.008623 (same as Brown Group HEREON); no peak at 679nm	Dinoflagellate -> cp Brown group Bi et al 2023
    

    [1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]
    [2] Lomas et al (2024): Phytoplankton optical fingerprint libraries for development of phytoplankton
    ocean color satellite products. Sci Data 11, 168 (2024). https://doi.org/10.1038/s41597-024-03001-z
    [3] Astoreca et al 2005: Optical properties of algal blooms in an eutrophicated coastal area and its relevance to remote sensing. Proceedings of SPIE DOI: 10.1117/12.615160

wavelength_nm,Diatoms,Green,Cryptophytes,Cyano_blue,Cyano_red,Phaeocystis,Dinoflagellates,Noctiluca
400.0,0.0309439441718962,0.024218179,0.0268686361750858,0.0279231227522943,0.0401426618703694,0.0361232710087002,0.0254521492880979,0.060644670538972
402.0,0.0315925610608517,0.024587302,0.0274515481680837,0.0285083336438161,0.0406286721695905,0.0368672235202796,0.0258224574148354,0.0609687106660558
404.0,0.0323756312139711,0.025022701,0.028150934941714,0.0291483046245908,0.041104525320854,0.0375546786371152,0.0262782397468602,0.0612109388639945
406.0,0.0332890752726702,0.025483833,0.0289664919242979,0.0300369020705155,0.0417561078398473,0.0384160640612442,0.0268052633309312,0.0613573992703675
408.0,0.0342422817806439,0.025936904,0.0298423092124962,0.030963089409261,0.0427099955413669,0.0392596344356268,0.0273505493935833,0.0617963402226086
410.0,0.0351351326899562,0.026354867,0.0306526188227714,0.0320056099552892,0.0437591523477202,0.0402058752771741,0.0278458971757224,0.061575785723444
412.0,0.0359596919202165,0.026729613,0.0313687793313487,0.032922697307009,0.0447058887290584,0.0410256330349531,0.028288980257213,0.0612445871849067
414.0,0.0366114841331054,0.027065361,0.0318780502548819,0.0337602783892227,0.0455166207981091,0.0416577923505093,0.0286157225249075,0.0609651976020669
416.0,0.0370814399820636,0.027343338,0.0323151188607846,0.0344245080153213,0.0462058076303696,0.0421235132975362,0.0288903630032642,0.0606317077417128
418.0,0.037398859086416,0.027561643,0.0325339698526814,0.0348493861073261,0.0465800288868803,0.0426164229318026,0.0291168261610682,0.060236904801594
420.0,0.0376006373118238,0.027735244,0.0327498605912705,0.0351556821582596,0.0468479471800701,0.0427638433118071,0.0293029782777931,0.0596950218298862
422.0,0.0378250735232317,0.027911497,0.032919329425162,0.0353617591788592,0.0470639837043634,0.0430890984440027,0.0294951841697906,0.0591044172262606
424.0,0.0381189845289914,0.028107853,0.033170980198674,0.0355117796741616,0.0473189355351353,0.0434486318344981,0.0297860116595767,0.0585629961456266
426.0,0.0385577781540523,0.028331666,0.0335103201649569,0.0357926812543728,0.047586714275585,0.0439381656700622,0.0301501715687096,0.0581715523710327
428.0,0.039221519999083,0.028573434,0.0340018365138003,0.0363595597559356,0.0480758654962741,0.0446169831669393,0.0306032793744737,0.0572994799548612
430.0,0.0400194126698302,0.0288068,0.0346391641686191,0.0369951654399423,0.0488370766266571,0.0455173550073305,0.0311113426901541,0.0569245944099245
432.0,0.0408217216408415,0.029003428,0.0352527839458096,0.0378525244512749,0.0497534015096427,0.0465330675657569,0.0316025348475952,0.0570144805625258
434.0,0.0415457689169956,0.029136389,0.0357947107431746,0.0387172789109016,0.0507270602944496,0.0475216530534409,0.0320104025936845,0.0569535888754174
436.0,0.0420405342881214,0.029162883,0.0361455077740755,0.0392923337459447,0.0512303024296257,0.0483009323213288,0.0322997844269343,0.0569186320538391
438.0,0.0421548949801578,0.029057194,0.0362028929056773,0.0395677137936882,0.0515234841649784,0.0487330609878114,0.032453127988805,0.0565350391993079
440.0,0.0418990196120712,0.02881069,0.0359684729285116,0.0393125192797053,0.0511360275759455,0.0489997615097099,0.032416648120724,0.0563970765309125
442.0,0.0412538736243301,0.02841981,0.0353761954850256,0.0385016933435252,0.0500027273830685,0.0486548281946909,0.032179407039975,0.0564044133727462
444.0,0.0403284431873253,0.027904294,0.0344807964085908,0.0369617484451027,0.0481342806838935,0.048428590255761,0.0318143941302935,0.056469475779253
446.0,0.0392241818799318,0.027290984,0.0333673945925325,0.0348447744125429,0.0456745157601835,0.0479501072272251,0.0313953551812628,0.0566124220921973
448.0,0.0381663429860685,0.026623042,0.0322003110106421,0.0323724542524694,0.0428751173668136,0.0475241287868454,0.0310079979572512,0.0569042772519514
450.0,0.037285368014928,0.025959959,0.0311323206822382,0.0298734876987377,0.0402145644276442,0.0474340165362794,0.0307447266630814,0.0572445254657103
452.0,0.0366346695850028,0.02536987,0.0302480268145562,0.0276370841416811,0.03780648250646,0.0474187496858696,0.0306462072753433,0.0575795345406109
454.0,0.0360930113283929,0.024878244,0.029637492927387,0.0257848007149748,0.036076852325071,0.0475988192996544,0.0306847300799731,0.0577668851687064
456.0,0.0357386026032887,0.024505641,0.0292825593669346,0.0244528458536207,0.0348332898759656,0.0480446697413746,0.0308046110014968,0.0580212854416361
458.0,0.0353923956328146,0.024253375,0.0291264635351806,0.023547377993201,0.0340749574854219,0.048399106997156,0.0309808202877585,0.0585777808360144
460.0,0.0349987084867434,0.024103513,0.0290848283443586,0.0229430725323985,0.0336420226018363,0.0487701009037946,0.0311351454636488,0.0590375750340993
462.0,0.0345751632560928,0.024036096,0.029060181180329,0.0225072308932087,0.0334130676730028,0.0491092541829283,0.031227590632453,0.0594855409504617
464.0,0.0339800477655251,0.024027971,0.0289498308442238,0.0221656339842733,0.0331611972748647,0.0494720904875277,0.0312459281294806,0.0597729674559813
466.0,0.0332465382767679,0.024057243,0.0286586245265373,0.0218386654677489,0.0330021806106666,0.0496311663577111,0.0311598648728094,0.0599545440645103
468.0,0.0323788672426849,0.024101882,0.0281578453588983,0.0214655685784492,0.0326496070261168,0.0496481028033867,0.0309601900894405,0.0600369820156158
470.0,0.0313607939854517,0.024139728,0.027448957307831,0.0210140475313003,0.0322397792244908,0.0495487903491876,0.0306304340104736,0.0603131134401953
472.0,0.0303484078453709,0.024155862,0.0265359325165178,0.0205345815363053,0.0318699965139319,0.0492099558975072,0.03018655153514,0.0603305666606611
474.0,0.0293440181603406,0.024133344,0.0254913472913114,0.0199833165073399,0.0316284946266928,0.0489225543825383,0.0296378705800855,0.0604125837339887
476.0,0.0283888447294189,0.024070813,0.0243929044985922,0.0195159393371006,0.0313410082959441,0.0482065357728322,0.0290312622173748,0.0607817946675486
478.0,0.0275896912827291,0.023970143,0.023341217513317,0.0190308803057732,0.0311535012859741,0.0473760214075399,0.0283379416526172,0.060954445455964
480.0,0.0269041025684509,0.023836438,0.0224674947818671,0.0186471602154287,0.0310870450432376,0.0464757188145347,0.0276976714948762,0.0609687106660558
482.0,0.0263251479940694,0.023662698,0.0218479535186182,0.0183744376286473,0.0313648077057483,0.045383218332603,0.0270808377009804,0.0609618526256756
484.0,0.0259306143154972,0.02344225,0.0215107705678249,0.0181703561434417,0.0317976298627236,0.0441645353899534,0.0265769234377667,0.0608767518264388
486.0,0.0255823126395841,0.023145834,0.021503195406756,0.0181103826140883,0.0324134182738765,0.0427764810518534,0.0261819195473678,0.0608059256073725
488.0,0.0252828986224336,0.022749791,0.0217264899569331,0.0181249040051035,0.0331497375286642,0.0413032869183299,0.025911677032408,0.0607314911344093
490.0,0.025027022508441,0.022236062,0.0220702778807763,0.0181810419343106,0.0340321322559192,0.0396758385534489,0.0256740764491435,0.0604768765931304
492.0,0.0247461314985419,0.02159333,0.0224554466409934,0.0182334288309512,0.0348075311355329,0.0380610409399615,0.0254307387071372,0.0599548908574553
494.0,0.024480433868465,0.020808244,0.0227406151485814,0.0182275053895388,0.0353464463726837,0.0364354955141403,0.025154054901931,0.0589514885122324
496.0,0.0241356837588464,0.019898714,0.0228874249341558,0.0181728859505947,0.0356927671492505,0.0349088423101292,0.0248038833177412,0.0581471987559237
498.0,0.0237253386668678,0.018880907,0.0228352552426325,0.0180012629788143,0.0356026680087235,0.0334570814957712,0.0243704732659981,0.0568630836538838
500.0,0.0232861880664884,0.017769252,0.0225740387698392,0.0176921088114638,0.0351769272892551,0.0320152984557974,0.0238604341095969,0.0552431361772044
502.0,0.0227810388557316,0.016610579,0.0221114298769596,0.0172151417635055,0.034469779770253,0.0308960508646106,0.0233106713571914,0.053040436574285
504.0,0.0222787746358408,0.015405508,0.0214682149848849,0.0166187829361108,0.0337883268197701,0.0297821818650634,0.0227304768134723,0.050905631132805
506.0,0.021736283232272,0.014179118,0.020665852600924,0.0158660519393234,0.0329935189822337,0.0287347287499183,0.022159496653847,0.0494542493594095
508.0,0.0211978351707361,0.012958726,0.0197714454509643,0.0150466083080119,0.0321366833596362,0.0279510269636539,0.0215971335164473,0.0475772286815869
